http://sil.gobernacion.gob.mx/Archivos/Fotos/9215576.jpg|Aispuro Torres, José Rosas|PAN| j.aispuro@senado.gob.mx|53-45-30-00 Ext: 3011, 3553.|19/10/1961|Durango|Tamazula|Primera Minoría|Durango|29/08/2012|Av. Paseo de la Reforma 135, Hemiciclo Piso 06 Oficina 16, Col. Tabacalera, Del. Cuauhtémoc, Cd. de México, C.P. 06030.|Flores Ávalos, Héctor David |Doctorado|Derecho| Diputado(a) Local Diputado(a) Federal |null|null
http://sil.gobernacion.gob.mx/Archivos/Fotos/9215560.jpg|Albores Gleason, Roberto Armando|PRI|roberto.albores@senado.gob.mx|53-45-30-00 Ext: 3556, 3349.|16/02/1979|Chiapas||Mayoría Relativa|Chiapas|29/08/2012|Av. Paseo de la Reforma 135, Hemiciclo Piso 04 Oficina 01, Col. Tabacalera, Del. Cuauhtémoc, Cd. de México, C.P. 06030.|Zuarth Esquinca, Rubén Antonio |Licenciatura|Económico-financiera| Diputado(a) Federal |Medalla Belisario Domínguez (C. Senadores) |null
http://sil.gobernacion.gob.mx/Archivos/Fotos/9215850.jpg|Alcalá Ruiz, Blanca María del Socorro|PRI|blanca.alcala@senado.gob.mx|53-45-30-00 Ext: 5383, 3440.|08/10/1961|Tlaxcala|Tlaxcala|Mayoría Relativa|Puebla|29/08/2012|Av. Paseo de la Reforma 135, Hemiciclo Piso 04 Oficina 02, Col. Tabacalera, Del. Cuauhtémoc, Cd. de México, C.P. 06030.|Izaguirre Francos, María del Carmen |Maestría|Ciencias políticas y sociales| Diputado(a) Local |Cultura (C. Senadores) |null
http://sil.gobernacion.gob.mx/Archivos/Fotos/9215834.jpg|Álvarez García, Ivonne Liliana|PRI|ivonnealvarez@senado.gob.mx|53-45-30-00 Ext: 2373, 2211.|25/04/1978|Nuevo León|Monterrey|Mayoría Relativa|Nuevo León|29/08/2012|Av. Paseo de la Reforma 135, Hemiciclo Piso 04 Oficina 03, Col. Tabacalera, Del. Cuauhtémoc, Cd. de México, C.P. 06030.|Quiroga Tamez, Mayela María de Lourdes |Licenciatura|Derecho| Diputado(a) Local |Asuntos Fronterizos Norte (C. Senadores) |null
http://sil.gobernacion.gob.mx/Archivos/Fotos/9215897.jpg|Amador Gaxiola, Daniel|PRI|daniel.amador@senado.gob.mx|53-45-30-00 Ext: 3341, 3993, 3450.|04/09/1956|Sinaloa|Elota|Mayoría Relativa|Sinaloa|29/08/2012|Av. Paseo de la Reforma 135, Hemiciclo Piso 04 Oficina 04, Col. Tabacalera, Del. Cuauhtémoc, Cd. de México, C.P. 06030.|Tarriba Urtuzuástegui, Manuel Esteban |Profesor Normalista|null| Diputado(a) Local Diputado(a) Federal |Para el desarrollo metropolitano (C. Senadores) |null
http://sil.gobernacion.gob.mx/Archivos/Fotos/9216280.jpg|Araujo Lara, Angélica del Rosario|PRI|angelica.araujo@senado.gob.mx|53-45-30-00 Ext: 3036.|21/06/1964|Yucatán|Tixkokob|Primera Minoría|Yucatán|29/08/2012|Av. Paseo de la Reforma 135, Hemiciclo Piso 04 Oficina 06, Col. Tabacalera, Del. Cuauhtémoc, Cd. de México, C.P. 06030.|López Briceño, Alaine Patricia |Maestría|Ciencias políticas y sociales| Diputado(a) Federal |Desarrollo Urbano y Ordenación Territorial (C. Senadores) |null
http://sil.gobernacion.gob.mx/Archivos/Fotos/9217947.jpg|Arriola Gordillo, Mónica Tzasna|PANAL|monica.arriola@senado.gob.mx|53-45-30-00 Ext.: 3302, 3237.|14/05/1971|Distrito Federal|Tlalpan|Representación Proporcional|N/A|29/08/2012|Av. Paseo de la Reforma 135, Hemiciclo Piso 05 Oficina 21, Col. Tabacalera, Del. Cuauhtémoc, Cd. de México, C.P. 06030.|Cárdenas Fonseca, Manuel |Licenciatura|Humanidades| Diputado(a) Local Diputado(a) Federal |Derechos Humanos (C. Senadores) |null
http://sil.gobernacion.gob.mx/Archivos/Fotos/9216268.jpg|Ávila Ruiz, Daniel Gabriel|PAN|daniel.avila@pan.senado.gob.mx|53-45-30-00 Ext: 3327.|03/08/1971|Yucatán|Tizimín|Mayoría Relativa|Yucatán|29/08/2012|Av. Paseo de la Reforma 135, Hemiciclo Piso 06 Oficina 26, Col. Tabacalera, Del. Cuauhtémoc, Cd. de México, C.P. 06030.|Villanueva Trujillo, Loreto Noemí |Maestría|Administración y contaduría| Diputado(a) Local Diputado(a) Federal |Juventud y Deporte (C. Senadores) |null
http://sil.gobernacion.gob.mx/Archivos/Fotos/9217613.jpg|Ayala Almeida, Joel|PRI|jayala@senado.gob.mx|53-45-30-00 Ext: 3257, 3694.|20/12/1946|Sonora|San Luis Río Colorado|Representación Proporcional|N/A|29/08/2012|Av. Paseo de la Reforma 135, Hemiciclo Piso 04 Oficina 07, Col. Tabacalera, Del. Cuauhtémoc, Cd. de México, C.P. 06030.|Villegas Arreola, Alfredo |Licenciatura|Económico-financiera| Diputado(a) Federal Senador(a) |Defensa Nacional (C. Senadores) |null
http://sil.gobernacion.gob.mx/Archivos/Fotos/9217905.jpg|Barbosa Huerta, Luis Miguel Gerónimo|PRD|miguel.barbosa@senado.gob.mx| 53-45-30-00 Ext.: 3158, 3116.|30/09/1959|Puebla|Tehuacán|Representación Proporcional|N/A|29/08/2012|Av. Paseo de la Reforma 135, Hemiciclo Piso 03 Oficina 06, Col. Tabacalera, Del. Cuauhtémoc, Cd. de México, C.P. 06030.|Berlanga Sánchez, Marlon |Licenciatura|Derecho| Diputado(a) Federal |Primera Comisión de Trabajo: Gobernación, Puntos Constitucionales y Justicia (Com. Perm.) |null
